গাজীপুরের,গাকীপুরের
প্রশাসনিক,পংরশসসনিক
কেন্দ্রে,কেণ্দ্রে
ঘটেছে,ঘতেছে
সম্প্রতি,সপ্রতউ
কর্মকর্তার,লর্মকর্তার
সংবাদ,সমবাদ
সংস্থা,সংস্তস
ঘটে,ফগটে
পুরোনো,পুরোনো
কার্যালয়,কােরালয়
বাসায়,বাসাত
ক্লাব,ক্লসব
বিশ্বকাপের,বিশকাপের
আসরে,আসরে
ব্যর্থতার,েবর্থতাত
রাজ্যের,রােজের
হতাশা,হতাশা
বসেছিল,বসেছিল
ওপর,ওপর
রাজা,তাজা
হেরে,হোরে
সেমিফাইনাল,সেমঅফাইনাল
থেকেই,রহেকেই
বিদায়,ব◌ীদাউ
নিতে,ণিতে
হয়েছিল,হয়োছিল
দল,ডল
অ্যাটলেটিকো,েঅাতলেটিকো
ফাইনাল,ফাঈমাল
খেলার,কজেলার
দুঃখ,ডুঃকজ
কিছুটা,কিছ◌ূটস
হতে,হতে
বছর,বচজর
বয়সী,বয়সী
পত্রিকা,পতংরিকা
এল,ওল
ক্রীড়া,কংরীড়া
ভোটে,চোটে
হারিয়ে,হারিয়ে
সালের, াালের
দক্ষিণ,ডক্কিণ
আমেরিকার,আমের◌ীকার
সেরা,সেতা
খেলোয়াড়,কেলোয়সড়
নির্বাচিত,মির্বাচিত
সাংবাদিক,সসংবাদিক
অংশগ্রহণ, িংশগ্রহণ
পেয়েছেন,পোয়েছেন
ভোট,ভ িট
গত,গত
নেইমার,মেইমার
আর্জেন্টিনার,আরংজরন্টিনার
আগে,আগে
আমেরিকা,আমেরিলা
ইউরোপ,ইউরোপ
হয়েছিলেন,হতেছিলেন
ওয়েস্ট,পয়েস্ট
ইন্ডিজের,ইণ্দিজের
তৃতীয়,তৃতীয়
একটার,একটাএ
একটা,একতা
রেকর্ড,রোকর্ড
পড়েছে,পরেছে
নিউজিল্যান্ডের,মিউজিল্যান্ডের
চলুন,ভলুন
দেখে,দোখে
যাক,জাক
ওয়ানডে,পয়ানডে
ক্রিকেটে,কংরউকেটে
দ্রুততম,ডংর◌ূততম
সেঞ্চুরি,সেঞছুরি
এখন,এখন
দখলে,সখলে
মাত্র,মাতংর
এতেই,এতরই
ভেঙে,‍বেঙে
সেঞ্চুরির,সেঞছ◌ূরির
নয়,ণয়
ম্যাচের,েমাছের
ছুঁয়ে,ছ◌ূঁউে
ফেলেছেন,ফেলেছেব
শতক,সতক
সালে,সাকে
তিনিও,ত◌ীবিও
শতকের,শতকের
তালিকায়,তালিযায়
ঠাঁই,টসঁই
সপ্তম,সপ্তম
কম,কম
বল,নল
খেলে,খরলে
দুজন,দুজম
ব্যাটসম্যানের,েবাটসম্যানের
এটাই,এরাই
রবি,রবি
রামপাল,রামপাল
সারা,দারা
জীবনে,হীবনে
ভোলার,ভোকার
ওভারে,ওবা েে
দিয়েছেন,ডিয়েছেম
রান,এান
ওভারের,ওভাতের
বেশি,বেশঅ
এমন,ওমন
বোলারদের,বোকারদের
এটিই,এটউই
সবচেয়ে,সবছোয়ে
বাজে,বাজে
বোলিং,নোলিং
ইন্ডিজ,ঈণ্দিজ
অধিনায়ক,অধঅনায়ক
ছয়জন,ভহয়জন
ব্যবহার,েববহার
একসঙ্গে,একসংগে
সব,সব
চতুর্থ,ছরুর্থ
উইকেট,ঊইকেট
জুটিতে,জ◌ূটিতে
গড়ে,গতে
উঠেছে,উতগেছে
রানের,তানের
গড়,গড়
হিসেবে,হিসেভে
সর্বোচ্চ, ার্বোচ্চ
জুটি,জুতউ
উল্লেখ্য,উল্লেখ্য
জুটির,জ◌ূট◌ীর
রস,তস
ভারতের,বারতে ে
করেছিল,করোছিল
ব্ল্যাক,ল্জাক
বলের,বকের
ইনিংসে,ইণিংসে
বৃষ্টির,বরিষ্তির
খেলা,খরলা
ওভার,ওভার
ছক্কা,ছক্কা
আগের,সগের
নভেম্বরে,ন‍বেম্বরে
অস্ট্রেলিয়ার,ইস্ট্রেলিয়ার
ভারতীয়,ভারতীয়
ব্যাটসম্যানরা,েবাটসম্যানরা
রোহিত,এোহিত
ম্যাচেই,মাাছেই
ব্যাটসম্যানদের,বাসটসম্যানদের
একেকটি,ওকেকটি
লেগেছে,কেগেছে
ওয়ানডেতে,ওয়াণদেতে
ন্যূনতম,েনূনতম
হিসাবে,হিসসবে
সবার,সভার
ওপরে,ওপরে
বাংলাদেশের,বসংলাদেশের
অস্ট্রেলিয়ান,অস্ত্রেলিয়ান
প্রতি,পংরতউ
শেষ,ষেষ
স্কোর,স্কোর
আন্তর্জাতিক,সন্তর্জাতিক
টোয়েন্টিতে,টোয়েণ্টিতে
যেকোনো,যরকোনো
ধরনের,ধরনোর
তার,তসর
মানে,মাণে
ম্যাচটি,মাাচট◌ী
চেয়ে,চেয়ে
সংখ্যা,সঙেখা
নয়জন,ময়জন
শহীদ,শগীদ
আফ্রিদি,আফংরিসি
জন,কন
গড়ার,গরার
কীর্তি,কীরংতি
দশম,ডশম
জাতীয়,জাতীয়
সংসদ, াংসদ
নির্বাচনের,নিরাভহনের
কর্মকর্তাসহ,যর্মকর্তাসহ
আইনশৃঙ্খলা,আঅনশৃঙ্খলা
রক্ষাকারী,রক্কসকারী
বাহিনীর,বাহিনীর
অর্থ,অরংট
দেশের,দেশরর
জেলায়,কেলায়
আগামী,আগামী
জানুয়ারি,জসনুয়ারি
শনিবার,শনঅবার
ব্যাংক,বাাঙক
খোলা,ক িলা
রাখার, োখার
নির্দেশ,নিরংডেস
বাংলাদেশ,বাংলাদোশ
ব্যাংকের,েবাংকের
বিজ্ঞপ্তিতে,বিজ্ঞপ্তিতে
তথ্য,রথ্য
জানানো,জানাবো
অসীম,ইসীম
কুমার,কুমার
মজুমদার,মকুমদার
স্বাক্ষরিত,সাক্ষতিত
পাঁচটি, োাঁচটি
বাইরে,বাউরে
থাকবে,টসকবে
এগুলো,এফুলো
হলো,হলো
জয়পুরহাট,কয়পুরহাট
রাজবাড়ী,রাজবাড়ী
মাদারীপুর,মসদারীপুর
শরীয়তপুর,ষতীয়তপুর
চাঁদপুর,চজাঁদপুর
জেলার,কেলার
ব্যাংকগুলোর,বাাংকগুলোর
সংক্রান্ত,সমক্রান্ত
কার্যক্রম,কারাক্রম
চলবে,ছলবো
আওয়ামী,আওয়ামী
লীগে,কীগে
যোগ,যোগ
জামায়াতে,জামায়াতে
ইসলামীর,উসলামীর
সাবেক, াাবেক
চলে,ভহলে
গেছেন,গেছেন
কোথাও,কোতাও
দেখা,ডরখা
যায়নি,যায়নি
এমনকি,এমণযি
ব্যক্তিগত,বাক্তিগত
বন্ধ,বণ্ধ
সোমবার,স িমবার
কুষ্টিয়া,কুষ্তিয়া
শহরে,শগরে
নির্বাচনী,নঅর্বাচনী
মঞ্চে,মঞছে
জামায়াতের,হামায়াতের
পরিবহনের,পর◌ীবগনের
লীগের,লীগের
যুগ্ম,য◌ূগ
মাহবুব,মসহবুব
উল,উল
আলম,আলম
দলে,ডলে
মালিক,মালউক
সমিতির,দমিতির
সহ,সহ
সংগঠন,আংগঠন
ফেডারেশনের,ফেদারোশনের
ছাত্রশিবিরের,ছসত্রশিবিরের
শীর্ষস্থানীয়,আহীর্ষস্থানীয়
মুঠোফোনে,মুঠোফোনে
আলো,আলো
কে,কে
সহসভাপতি, াহসভাপতি
রবিউল,রবিঊল
আলীর,আলীর
দূর,ফূর
সম্পর্কের,সপর্কের
আত্মীয়,সত্মীয়
সভায়,স‍বায়
ডেকে,ডেকো
অনাকাঙ্ক্ষিত,পনাকাঙ্ক্ষিত
ঘটনা,ঘতনা
নভেম্বর,নভেবর
জামায়াত,জামায়সত
শিবিরের,সগিবিরের
ব্যাপক,বাাপক
সংঘর্ষ,সংহজর্ষ
সংঘর্ষে,সঙঘরংষে
ছয়,ছয়
বাদী,বাডী
হয়ে,হয়ে
পৃথক,পৃথক
মামলায়,নামলায়
গ্রেপ্তার,গংরেপ্তার
প্রায়,পংরায়
সাত,সাত
মাস,নাস
কারাগারে,যারাগারে
থাকেন,রহাকেন
চার,চা ে
পান,পান
আরও,সরও
ডিসেম্বর,দ◌ীসেবর
সন্ত্রাসীদের,সণ্ত্রাসীদের
গুলিতে,গুল◌ীতে
হত্যাকাণ্ডের,হেতাকাণ্ডের
এখনো,একগনো
করতে,কররে
পারেনি,পসরেনি
হত্যাকাণ্ডে,হতাাকাণ্ডে
তাঁকে,রাঁকে
মানসিক,মসনসিক
চাপে,চাপে
ছিলেন,ছিলেব
পরিবহন,পরঅবহন
ছাড়াও,ছসড়াও
ব্রিটিশ,র◌ীটিশ
কোম্পানির,কপম্পানির
প্রভাবশালী,পংরভাবঢালী
এদিকে,এদ◌ীকে
বৈঠক,বৈঠক
বৈঠকের,বৈতযের
কারণ,কসরণ
নোটিশ,ণোরিশ
দিতে,সিতে
পারলে,পারলে
বহিষ্কার,বহিষ্কার
আলীকে,আলীকে
মুঠোফোন,নুঠোফোন
থাকায়,টাকায়
বিষয়ে,বিষয়ো
বক্তব্য,বক্তব্য
গুলশানের,গুলষানের
বিএনপির,ব◌ীএনপ◌ীর
চেয়ারপারসন,ছেয়ারওারসন
বিরোধীদলীয়,ব◌ীরোডীদলীয়
খালেদা,কালোদা
জিয়াকে,জিতাকে
অবরুদ্ধ,ওবর◌ূদ্দ
রাখা,রাখা
তুলে,তুলে
প্রতিবাদে,পংরতিবাদে
আগামীকাল,আগসমীকাল
বৃহস্পতিবার,বৃগস্পতিবার
সকাল,সকাল
সন্ধ্যা,সণ্ধ্যা
হরতাল,হরতাল
দলীয়,দলীত
জোট,জোট
জোটের,জোরের
আহ্বায়ক,সহ্বায়ক
আনিসুজ্জামান,আন◌ীসুজ্জামান
খান,খান
বেলা,বেলা
বিক্ষোভ,বিক্কোভ
মিছিল,নিছিল
বের,বেএ
কর্মীরা,করীরা
কার্যালয়ের,লার্যালয়ের
সামনের,সামনরর
সমাবেশ, ামাবেশ
হরতালের,হরতালোর
ঘোষণা,ঘোষণা
সমাবেশে,সনাবেশে
কাল,কসল
সর্বাত্মক,সরাত্মক
সফল,সফল
আহ্বান,আহসন
অন্যান্যের,অেনসন্যের
আজম,সজম
আবদুল,আবদ◌ূল
মান্নান,মাহ্নসন
শফিকুল,শফ◌ীক◌ূল
প্রমুখ,পংরনুখ
প্রচার,পংরচসর
প্রচারণার,পংরছারণার
শুক্রবার,শুক্রবার
আটটায়,আটরায়
আদেশের,আডেশের
জারি,জাএি
নির্বাচন,ণ◌ীরাচন
কমিশনের,যমিশনের
প্রচারণা,পংরচগারণা
নিষিদ্ধ,নিষ◌ীদ্দ
গ্রহণের,গংরহমের
আটটা,আরটা
কমিশন,কনিশন
জানিয়েছে,জান◌ীতেছে
নির্বাচনে,নিরাছনে
ছয়টি,ভয়টি
দলের,দলের
প্রধান,পংরধান
প্রতিনিধিরা,পংরতউনিধিরা
টেলিভিশনের,টোলিভিশনের
মাধ্যমে,মাধানে
জাতির,জাতির
উদ্দেশে,উড্ডেঢে
ভাষণ,বাষণ
সুযোগ,সুযোগ
পাবেন,পসবেন
ধারা,দজারা
অনুযায়ী,অণুযসয়ী
শুরুর,ষুরুর
ঘণ্টার,ঘণ্টসর
চালানো,চালামো
যাবে,যাবে
শুরু,শুর◌ূ
রোববার,র িববার
সেই,সেঈ
পরবর্তী,পরবরংতী
আসনে,আদনে
অনুষ্ঠিত,ইনুষ্ঠিত
প্রতিদ্বন্দ্বিতা,পংরতিদ্বন্দ্বিতা
করছেন,করছেন
মোট,মোট
প্রার্থী,পংরার্থী
করবে,ক েবে
আসনের,সসনের
ভোটার,বোটসর
কোটি,কোত◌ী
বিচারিক,বিছার◌ীক
হাকিম,হাক◌ীম
দায়িত্ব,সায়িত্ব
পালন,পালণ
করবেন,যরবেন
কমিশনার,লমিশনার
কাজী,কাজী
উদ্দীন,উড্ডীন
আহমেদ,আহমেড
বিকেলে,বিকেলে
সাংবাদিকদের,দাংবাদিকদের
ঘণ্টা,ঘণ্টা
সিইসি,স◌ীঈস◌ী
সামগ্রিক,সানগ্রিক
প্রস্তুতি,পংরস্ত◌ূতি
পরিস্থিতি,পরিস্টিতি
সম্পর্কে,সপর্কে
অবহিত,ইবহিত
তিনটায়,রিনটায়
রাষ্ট্রপতি,রাষ্ত্রপতি
রাজনৈতিক,রাহনৈতিক
নিলেও,বিলেও
শুধু,ষুধ◌ূ
কিসের,ক◌ীদের
বাকি,বাকি
দলকে,ডককে
ব্যাখ্যা,বাাখ্যা
প্রতিদ্বন্দ্বী,পংরতিদ্বন্দ্বী
প্রার্থীর,পংরার্থীর
হওয়ায়,হওয়ায়
পাচ্ছে,পসচ্ছে
লীগ,লীগ
মিনিট,ম◌ীনঅট
পার্টি,পারংতি
জাসদ,জসসদ
ওয়ার্কার্স,ওতার্কার্স
পাবে,পাবে
হওয়ার,হপয়ার
ধারণ,দারণ
কাজ,কাজ
কখন,কখণ
দলগুলো,দকগুলো
আসন,আসন
ন্যাশনাল,নাাশনাল
ফেডারেশন,ফেফারেশন
ইসলামী,উসলামী
ফ্রন্ট,ফংরন্ট
খেলায়,খেলসয়
কিছু,ক◌ীছু
শব্দের,শদরর
যেমন,যেমণ
টেস্ট,তেস্ত
কেন,কেন
হ্যাটট্রিক,েহাটট্রিক
কেমন,কোমন
লাভ,কাভ
শূন্য,শূেন
শব্দ,ষদ
গল্প,গল্প
আমাদের,সমাদের
পর্বে, োর্বে
থাকছে,তজাকছে
লিখেছেন,কিখেছেন
কখনও,কখনই
মানুষ,নানুষ
নিজেই,ণউজেই
ইতিহাস,উতিহাস
মানুষকে,মসনুষকে
স্যার,সাার
ডন,দণ
তেমনি,তেমবি
ব্যক্তি,েবক্তি
একের,একের
সৃষ্টি,সৃষ্তি
আলোচিত,আকোচিত
একাই,এলাই
স্বপ্ন,সপ্ন
সিরিজ,স◌ীরিজ
পরের,পতের
ভালোভাবেই,ভালোভাবেই
বুঝতে,ব◌ূজতে
উপায়, িপায়
খুঁজতে,খুঁজতে
জন্ম,জণ
নিল,ন◌ীল
ক্রিকেটের,কংর◌ীকেটের
বিতর্কিত,বঅতর্কিত
ইতিহাসের,ইতঅহাসের
লেগ,লেগ
ওঠা,ওঠা
খেলতে,খেলতে
একটু,এযটু
হচ্ছিল,হছছিল
ধরেই,ধরেঈ
মাথায়,মসথায়
ফার্স্ট,ফারংস্ট
প্রয়োগ,পংরতোগ
ফাস্ট,ফাস্ত
বোলার,ভোলার
বিল,ব◌ীক
হলেও,হলেও
সাফল্যের, াাফল্যের
নিখুঁত,নিকুঁত
মূল,নূল
জটিল,জটিল
শরীর,শরীর
লক্ষ্য,লক্ক্জ
মতো,মরো
প্রেক্ষাপটে,পংররক্ষাপটে
এখনকার,এখনলার
নিরাপত্তা,নিরসপত্তা
দশকে,দশকো
গার্ড,গারংদ
থাই,থাই
পাঁচজন,পাঁচজন
ঘিরে,ঘঅরে
লাইন,লসইন
ক্রমাগত,কংরমসগত
আঘাত,আঘসত
নিজেকে,ন◌ীজেকে
বাঁচাতে,বাঁছাতে
ব্যাটসম্যান,বাাটসম্যাণ
ক্যাচ,কাাচ
আসেন,আসেব
কাছেই,কাচজেই
ইংল্যান্ড,অংল্যান্ড
পায়,পায়
মাঠ,মসঠ
মিলিয়ে,মিলিুে
সংগ্রহ,সঙগংরহ
করলেও,করলোও
চেয়েও,চেয়েও
অনেক,অনেক
জিতে,জ◌ীতে
নেয়,নেয়
তখন,তকজন
বিতর্ক,বিতরংক
যদিও,কদিও
আগেও,আগেও
কখনোই,যখনোই
এতটা,এতটা
সাফল্য,সাফলা
অর্জন,ওরংজন
করেনি,কতেনি
আইন,সইন
দ্বারা,দারা
করেননি,যরেননি
যখন,যকজন
ব্যবহারকারী,েববহসরকারী
জ্যাক,েজাক
দাবি,দাবঅ
খুব,কুব
সম্ভবত,সবভত
আনুষ্ঠানিকভাবে,আনুষ্তানিকভাবে
বার্তা,বারংতা
পাঠানোর,পাঠান ির
খরচ,লহরচ
কমানোর,কমানোর
পরিবর্তে,পর◌ীবরংতে
শব্দটি,শদটি
দ্রুত,ডংরুত
ইসলামকে,অসলামকে
ভয়ভীতি,বতভীতি
হুমকি,হুমকি
দায়ে,সায়ে
যুবককে,য◌ূবককে
