গাজীপুরের,গাজীপ◌ূরের
নতুন,বতুন
বছরের,বভহরের
প্রথম,পংরতম
দিনে,সিনে
কোনো,কোনো
ঘটেনি,ঘটেন◌ী
ইংলিশ,ইংলিশ
প্রিমিয়ার,পংরিমিয়সর
লিগে,কিগে
ম্যানচেস্টার,েমামচেস্টার
সিটি,সিটি
চেলসি,ভেলসি
লিভারপুল,লিভারওুল
জয়,জয়
পেয়েছে,পেয়েচগে
যার,যাত
ম্যাচে,েমাভহে
বিপক্ষে,ব◌ীওক্ষে
পেতে,পেরে
রীতিমতো,রীরিমতো
ঘাম,ঘসম
ছুটে,ছুটে
মিনিটে,মিনঅটে
উদ্ধার, িদ্ধার
করেন,করেব
অতিরিক্ত,ওরিরিক্ত
সময়ে,আময়ে
গোল,গপল
পয়েন্ট,পয়েণ্ট
টেবিলে,তেবিলে
শীর্ষ,শীরংষ
অবস্থান,অবস্তান
চূড়ান্ত,চূরাণ্ত
ফল,ফল
সিটির,সিতির
জিততে,জউততে
বেশ,বরশ
ম্যান,েমান
গোলের,হোলের
গোলে,গোলে
ফেরে,ফে েে
এগিয়ে,ওগিয়ে
ব্যবধানে,বাবডানে
কিন্তু,কঅন্তু
এদিন,রদিন
করা,করা
যেন,যেন
পরিণত,পতিণত
আবারো,আবারো
বসেন,নসেন
তবে,তবে
সেটি,সেটঅ
কেবল,কেবল
পরাজয়,পরাজয়
এড়াতে,ওড়াতে
পারে,ওারে
অবশ্য,অবশা
হেসে,হে াে
উড়িয়ে,উ েিয়ে
দিয়েছে,দিয়েভে
জিতেছে,জিরেছে
ওদিকে,পদিকে
লুইস,লুইস
গতিতে,গত◌ীতে
কার,লার
আজও,আজও
অল,ইল
খাতা,খারা
স্ট্রাইকার,স্ত্ োইকার
চলতি,চজলতি
মৌসুমে,মৌদুমে
দ্বিতীয়ার্ধে,দিতীয়ার্ধে
হাল,গাল
সহজ,সহজ
ম্যাচ,েমাচ
শেষে,শেষর
শীর্ষে,শীর্ষে
তাদের,তাডের
মাগুরা,মাগ◌ূরা
শহরের,ষহরেএ
কেন্দ্রীয়,কেণ্দ্রীয়
বাস,বাস
টার্মিনাল,তারিনাল
এলাকা,এলাকা
ছাত্রলীগের,ছাতংরলীগের
নেতা,মেতা
কর্মীকে,করীলে
আটক,আটয
করেছে,কররছে
বাসে,ভাসে
করছিলেন,করছিকেন
বলে,বলে
পৌনে,পৌমে
আটটার,সটটার
জেলা,জেলা
সম্পাদক,সপসদক
সাজ্জাদ,দাজ্জাদ
মোল্লা,মোল্লা
রানা,রানা
কাছে,কাছো
দুটি,ডুরি
বোতল,ভোতল
পাওয়া,পাওয়স
খুলনা,খ◌ূলনা
চলাচলকারী,ছলাচলকারী
গাড়িতে,ফাড়িতে
পেট্রল,পেতংরল
ধরিয়ে,ধর◌ীুে
দেওয়ার,দেওউার
ওই,ওঈ
যুবক,জ◌ূবক
সময়,সময়
জানতে,জাণরে
চাইলে,ভহাইলে
সুপার,সু োার
কবীর,লবীর
আলোকে,আলোকে
পানির, োানির
ভরা,ভরস
এটিকে,ওটিকে
বোমা,বোমা
বলা,বলা
ঠিক,রহিক
হবে,হবর
তৈরি,তৈ েি
এর,এএ
থাকে,থাযে
তিনি,ত◌ীবি
কর্মীদের,করীদের
জিজ্ঞাসাবাদ,জিজ্ঞাসাবাদ
হচ্ছে,হছে
প্রতিবেদন,পংররিবেদন
লেখা,লেখা
পর্যন্ত,পেরন্ত
মিজানুর,নিজানুর
রহমান,এহমান
সহকারী,সহকাতী
রায়,তায়
ভারপ্রাপ্ত,ভারপংরাপ্ত
কর্মকর্তা,করযর্তা
ওসি,ওসি
কর্মকর্তারা,করকরংতারা
সার্কেল,সারংকেল
নাশকতা,ণাষকরা
উদ্দেশ্য,উড্ডরশ্য
ছিল,ভিল
করার,কতার
কথা,কটা
স্বীকার,সীকার
করেছেন,কররছেন
সভাপতি,আভাপতি
শেখ,সজেখ
রেজাউল,রেজসউল
ইসলাম,উসলাম
মোটরসাইকেলে,মপটরসাইকেলে
ব্যবহারের,বাবহারের
জন্য,জেন
কিনে,যিনে
এই,এঅ
ভালো,ভাল ি
জেনে,জেনর
শুনে,ঢুনে
ব্যাপারে,বাাপসরে
পরামর্শ,পরামরংষ
দেন,ডেণ
সাধারণ,আাধারণ
মীর,নীর
মেহেদী,মেহরদী
হাসান,যাসান
শুনেছি,শুনেছঅ
বিষয়টি,ভিষয়টি
দুঃখজনক,ড◌ূযখজনক
রাজধানীর,রসজধানীর
সাভারের,আাভারের
গ্রামে,গংরানে
অভিযান,অভউযান
চালিয়ে,ছাল◌ীতে
মাদকদ্রব্য,মাদকডংরব্য
নিয়ন্ত্রণ,নিয়ণ্ত্রণ
অধিদপ্তর, িধিদপ্তর
আট,আর
লাখ,লাখ
টাকা,তাকা
দামের,ডসমের
এক,এক
হাজার,যাজার
ইয়াবা,অয়াবা
বড়ি,বড়ি
মাদক,মসদক
নূর,নূর
মোহাম্মদ,মোহামদ
তাঁর,তাঁর
কক্সবাজারের,কক্সবাজারের
টেকনাফের,রেকনাফের
গ্রামের,গংরামের
ছেলে,চগেলে
দীর্ঘদিন,দীরংঘদ◌ীন
ধরে,ধরর
বাড়িতে,বাড়◌ীতে
ভাড়া,বারা
ব্যবসা,বাভসা
অভিযোগ,অভঅযোগ
সূত্র,সূত্র
জানায়,জানায়
খবর,খবর
পেয়ে,ওেয়ে
অধিদপ্তরের,অধ◌ীফপ্তরের
অনুমতি, িনুমতি
ক্রেতা,কংররতা
যোগাযোগ,যোগাযোগ
এরপর,ওরপর
টাকার,তসকার
বিনিময়ে,ভিনিময়ে
সন্ধ্যায়,সণ্ধ্যায়
সাভার,সসভার
থানা,থানা
পুলিশের,পুলিশেএ
সোপর্দ,সপপর্দ
দেওয়া,দেওয়া
তথ্যের,তেথের
ভিত্তিতে,ভিত্তিতর
পরিদর্শক,পরিফর্শক
দেওয়ান,ফেওয়ান
জিল্লুর,হিল্লুর
মধ্যে,মেধে
নিয়মিত,নিয়নিত
আসছে,আসছর
সাভারে,সাভাতে
ব্যবসার,েববসার
জড়িত,জড়◌ীত
কক্সবাজার,কক্সবাজার
এসব,এসব
চালান,ছাকান
গ্রহণ,গংরহণ
পৌঁছে,পৌঁছে
স্থানীয়,স্তানীত
ব্যবসায়ীদের,েববসায়ীদের
গতকাল,ফতকাল
মঙ্গলবার,নঙ্গলবার
টেকনাফ,রেকনাফ
আসা,আসা
পাঁচ,পাঁভহ
রকম,রকন
পাওয়ার,ওাওয়ার
পর,পত
নির্দেশে,ন◌ীরংডেশে
আগেই,সগেই
অধিকাংশ,ওডউকাংশ
বিক্রি,বিকংরি
কারণে,কারণে
পুরো,পুরো
সম্ভব,সবব
হয়নি,হতনি
মোস্তফা,মোস্তফা
কামাল,কামসল
দুজনকে,ড◌ূজণকে
আটকের,আরকের
পক্ষ,পক্ক
মামলা,মানলা
নিজ,নিজ
বাসভবনে,বসসভবনে
বিস্ফোরণে,ভিস্ফোরণে
চেক,ছেক
রাজধানী,রাজধসনী
নিযুক্ত,নিযুক্ত
রাষ্ট্রদূত,রাষ্ত্রদূত
জামাল,জামাল
আল,সল
নিহত,নিযত
কর্তৃপক্ষ,করংতৃপক্ষ
দুর্ঘটনা,ডুরংঘটনা
প্রাথমিকভাবে,পংরাতজমিকভাবে
ধারণা,ধারণস
করছে,করছর
পররাষ্ট্র,পরএাষ্ট্র
মন্ত্রণালয়ের,মণ্ত্এণালয়ের
বরাত,বতাত
রয়টার্সের, েয়টার্সের
খবরে,খবতে
নিজের,ন◌ীজের
খোলার,খোকার
আর,সর
সরকারের,সরকারের
তাকে,রাকে
থাকা,তগাকা
বিস্ফোরণ,বিস্ফোরণ
ঘটতে,হজটতে
বিস্ফোরণের,বিস্ফ িরণের
সন্ত্রাসী,সণ্ত্রাসী
হামলা,হামলা
বলতে,ভলতে
রাজি,রাজি
দিন,ডিন
সকালে,সযালে
হন,হন
ফিলিস্তিনি,ফউলিস্তিনি
ছাড়া,ছারা
কেউই,করউই
আহত,আযত
হননি,হনন◌ী
অথচ,অথচ
জামালের,জামালেএ
রাস্তা,রাস্তা
বাড়ির,বাএির
চোখে,চগোখে
পড়েনি, োড়েনি
নামের,নানের
নারী,নারী
মুখপাত্র,ম◌ূক োাত্র
মারাত্মক,মারাতয
নেওয়া,নেওয়া
সেখানেই,সেখানেঅ
মারা,মসরা
একজন,একজন
পশ্চিম,পশ্চিম
প্রশাসনিক,পংরষাসনিক
কেন্দ্রে,কোন্দ্রে
ঘটেছে,ঘটোছে
সম্প্রতি,আম্প্রতি
কর্মকর্তার,করকর্তার
সংবাদ,সংবাস
সংস্থা,সঙস্টা
ঘটে,ঘটে
পুরোনো,পুর িনো
কার্যালয়,কারাাকয়
বাসায়,নাসায়
ক্লাব,ক্লাব
বিশ্বকাপের,বিশকাপের
আসরে,আসরে
ব্যর্থতার,বারংটতার
রাজ্যের,রাজাের
হতাশা,হতাষা
বসেছিল,ভসেছিল
ওপর,ওপর
রাজা,রাজা
হেরে,হেরে
সেমিফাইনাল,সেমিফাইণাক
থেকেই,থেকেই
বিদায়,বিদাু
নিতে,ন◌ীতো
হয়েছিল,হয়েছউল
দল,ডল
অ্যাটলেটিকো,েঅারলেটিকো
ফাইনাল,ফাঅনাল
খেলার,লহেলার
দুঃখ,দুঃক
কিছুটা,ক◌ীছুটা
হতে,হরে
বছর,নছর
বয়সী,বউসী
পত্রিকা,পতংর◌ীকা
এল,এক
ক্রীড়া,কংরীরা
ভোটে,‍বোটে
হারিয়ে,যারিয়ে
সালের,আালের
দক্ষিণ,ডক্কিণ
আমেরিকার,আমেতিকার
সেরা,দেরা
খেলোয়াড়,করলোয়াড়
নির্বাচিত,বির্বাচিত
সাংবাদিক,সাংবসদিক
অংশগ্রহণ,ওংশগংরহণ
পেয়েছেন,পেয়েছেন
ভোট,ভোট
গত,গত
নেইমার,নেঅমার
আর্জেন্টিনার,সর্জেন্টিনার
আগে,আগর
আমেরিকা,আমেতিকা
ইউরোপ,ইউরোও
হয়েছিলেন,হয়েছিকেন
ওয়েস্ট,ওতেস্ট
ইন্ডিজের,ইণ্দ◌ীজের
তৃতীয়,রৃতীয়
একটার,একটার
একটা,এলটা
রেকর্ড,রেকরংদ
পড়েছে,পড়েছে
নিউজিল্যান্ডের,নিউজউল্যান্ডের
চলুন,চকুন
দেখে,ফেখে
যাক,যাক
ওয়ানডে,ওয়াবডে
ক্রিকেটে,কংরউকেটে
দ্রুততম,ডংরুততম
সেঞ্চুরি,সেঞছুরি
এখন,এখন
দখলে,দখকে
মাত্র,মাতংর
এতেই,এরেই
ভেঙে,বেমে
সেঞ্চুরির,দেঞ্চুরির
নয়,নয়
ম্যাচের,মাসচের
ছুঁয়ে,ছুঁয়ে
ফেলেছেন,ফেলেছেন
শতক,শতয
সালে, াালে
তিনিও,তউনিও
শতকের,শতযের
তালিকায়,তালিকসয়
ঠাঁই,টসঁই
সপ্তম,সপ্তম
কম,কম
বল,বল
খেলে,কজেলে
দুজন,সুজন
ব্যাটসম্যানের,বাাটসম্যানের
এটাই,এতসই
রবি,রব◌ী
রামপাল,রামপাক
সারা,সসরা
জীবনে,জীবণে
ভোলার,ভপলার
ওভারে,ওবারো
দিয়েছেন,ফিয়েছেন
রান,তান
ওভারের,ওচারের
বেশি,বেশি
এমন,রমন
বোলারদের,বোলারদের
এটিই,এটিই
সবচেয়ে,সবছেয়ে
বাজে,ভাজে
বোলিং,বোলিব
ইন্ডিজ,ঈণ্দিজ
অধিনায়ক,অদজিনায়ক
ছয়জন,ছয়কন
ব্যবহার,বাবহার
একসঙ্গে,একআঙ্গে
সব,সব
চতুর্থ,ছরুর্থ
উইকেট,উইকেত
জুটিতে,জুটিতো
গড়ে,গড়ে
উঠেছে,ঊঠেছে
রানের,রানের
গড়,হড়
হিসেবে,হ◌ীআেবে
সর্বোচ্চ,সরোচ্চ
জুটি,জুটঅ
উল্লেখ্য,উল্লরখ্য
জুটির,জুটিত
রস,রস
ভারতের,‍বারতের
করেছিল,করোছিল
ব্ল্যাক,ল্কাক
বলের,বকের
ইনিংসে,উনিংসে
বৃষ্টির,বৃষ্টির
খেলা,খেলা
ওভার,ওভসর
ছক্কা,ছক্কা
আগের,সগের
নভেম্বরে,মভেম্বরে
অস্ট্রেলিয়ার,ওস্ত্রেলিয়ার
ভারতীয়,চারতীয়
ব্যাটসম্যানরা,েবাটসম্যানরা
রোহিত,রোহ◌ীত
ম্যাচেই,েমসচেই
ব্যাটসম্যানদের,েবসটসম্যানদের
একেকটি,একেকত◌ী
লেগেছে,লেহেছে
ওয়ানডেতে,ওয়াণফেতে
ন্যূনতম,েনূনতম
হিসাবে,হউসাবে
সবার,সবসর
ওপরে,ও োরে
বাংলাদেশের,ভাংলাদেশের
অস্ট্রেলিয়ান,অস্ত্রেলিয়ান
প্রতি,পংরতি
শেষ,ষরষ
স্কোর,স্কোর
আন্তর্জাতিক,আণ্তর্জাত◌ীক
টোয়েন্টিতে,টোয়েণ্টিতে
যেকোনো,জেক িনো
ধরনের,ফহরনের
তার,তার
মানে,নানে
ম্যাচটি,মাসচটি
চেয়ে,চগেয়ে
সংখ্যা,সংখাা
নয়জন,নয়জব
শহীদ,সগহীদ
আফ্রিদি,আফংরিসি
জন,জণ
গড়ার,গড়ার
কীর্তি,কীরংতি
দশম,ডসজম
জাতীয়,কাতীয়
সংসদ,সঙ াদ
নির্বাচনের,বির্বাচনের
কর্মকর্তাসহ,করকর্তাসহ
আইনশৃঙ্খলা,আইবশৃঙ্খলা
রক্ষাকারী,তক্ষাকারী
বাহিনীর,বসহিনীর
অর্থ,ওরংত
দেশের,ডেশের
জেলায়,জেলায়
আগামী,আফামী
জানুয়ারি,জানুয়ার◌ী
শনিবার,শনিবার
ব্যাংক,বাাংক
খোলা,লহোলা
রাখার,রাকার
নির্দেশ,নিরংডেশ
বাংলাদেশ,বাংলাডেষ
ব্যাংকের,বাসংকের
বিজ্ঞপ্তিতে,ব◌ীজ্ঞপ্তিতে
তথ্য,তেথ
জানানো,জামানো
অসীম,অ াীম
কুমার,কুমসর
মজুমদার,মজ◌ূনদার
স্বাক্ষরিত,সাক্করিত
পাঁচটি,পাঁচট◌ী
বাইরে,বসইরে
থাকবে,থাকনে
এগুলো,এগুকো
হলো,হলো
জয়পুরহাট,জতপুরহাট
রাজবাড়ী,রাজবাড়ী
মাদারীপুর,মাডারীপুত
শরীয়তপুর,শএীয়তপুর
চাঁদপুর,চসঁদপুর
জেলার,জেলার
ব্যাংকগুলোর,েবাংকগুলোর
সংক্রান্ত,আংক্রান্ত
কার্যক্রম,কােরক্রম
চলবে,চকবে
আওয়ামী,আইয়ামী
লীগে,লীগে
যোগ,যোগ
জামায়াতে,জামসয়াতে
ইসলামীর,ঈদলামীর
সাবেক,সাবরক
চলে,চলে
গেছেন,ফেছেন
কোথাও,লোথাও
দেখা,দেকা
যায়নি,কায়নি
এমনকি,এননকি
ব্যক্তিগত,বাক্তিগত
বন্ধ,বণ্ধ
সোমবার,সোমবসর
কুষ্টিয়া,ক◌ূষ্তিয়া
শহরে,শহরে
নির্বাচনী,ন◌ীরাচনী
মঞ্চে,মঞছো
জামায়াতের,জসমায়াতের
পরিবহনের,পরউবহনের
লীগের,লীহের
যুগ্ম,জুগ
মাহবুব,মাগবুব
উল,উল
আলম,আলন
দলে,দলে
মালিক,নালিক
সমিতির,সমিতঅর
সহ,দহ
সংগঠন,সংগঠন
ফেডারেশনের,দেডারেশনের
ছাত্রশিবিরের,ছসত্রশিবিরের
শীর্ষস্থানীয়,শীর্ষস্থানীয়
মুঠোফোনে,মুঠোফোনে
আলো,আলো
কে,কে
সহসভাপতি,সযসভাপতি
রবিউল,রবউউল
আলীর,আলীর
দূর,সূর
সম্পর্কের,সপর্কোর
আত্মীয়,আতীয়
সভায়,সবসয়
ডেকে,ডেলে
অনাকাঙ্ক্ষিত, িনাকাঙ্ক্ষিত
ঘটনা,ঘটবা
নভেম্বর,ণবেবর
জামায়াত,হামায়াত
শিবিরের,শউবিরের
ব্যাপক,বাাপক
সংঘর্ষ,সবঘর্ষ
সংঘর্ষে,সংঘরংষে
ছয়,ছত
বাদী,বাদী
হয়ে,হউে
পৃথক,পৃথল
মামলায়,নামলায়
গ্রেপ্তার,গংরেপ্তার
প্রায়,পংরাত
সাত,সসত
মাস,মাস
কারাগারে,কারাফারে
থাকেন,থাকেন
চার,চার
পান,পসন
আরও,আরপ
ডিসেম্বর,দিসেবর
সন্ত্রাসীদের,সণ্ত্রাসীদের
গুলিতে,গুলউতে
হত্যাকাণ্ডের,হতাাকাণ্ডের
এখনো,এখনো
করতে,যরতে
পারেনি,পারেণি
হত্যাকাণ্ডে,হতাাকাণ্ডে
তাঁকে,তাঁকো
মানসিক,মামসিক
চাপে,ভাপে
ছিলেন,ছিলেন
পরিবহন,পরিবহন
ছাড়াও,চজাড়াও
ব্রিটিশ,রিট◌ীশ
কোম্পানির,লোম্পানির
প্রভাবশালী,পংরবাবশালী
এদিকে,এদঅকে
বৈঠক,ভৈঠক
বৈঠকের,বইরহকের
কারণ,কা েণ
নোটিশ,ণোটিস
দিতে,ফিতে
পারলে,পারলে
বহিষ্কার,বহউষ্কার
আলীকে,আলীকে
মুঠোফোন,ম◌ূতোফোন
থাকায়,থালায়
বিষয়ে,বিষয়ে
বক্তব্য,বক্তবা
গুলশানের,গ◌ূকশানের
বিএনপির,বউএনপির
চেয়ারপারসন,ছরয়ারপারসন
বিরোধীদলীয়,ব◌ীরপধীদলীয়
খালেদা,খালেদা
জিয়াকে,জ◌ীয়াযে
অবরুদ্ধ, িবরুদ্ধ
রাখা, োখা
তুলে,তুলে
প্রতিবাদে,পংরতিবাদে
আগামীকাল,আগানীকাল
বৃহস্পতিবার,নৃহস্পতিবার
সকাল,সকাল
সন্ধ্যা,সণ্ধ্যা
হরতাল,হরতাল
দলীয়,দলীয়
জোট,জোট
জোটের,কোটের
আহ্বায়ক,আহায়ক
আনিসুজ্জামান,আনিসুজ্জামান
খান,খাব
বেলা,বেলা
বিক্ষোভ,বিক্কোভ
মিছিল,ম◌ীছিল
বের,বরর
কর্মীরা,লর্মীরা
কার্যালয়ের,কােরালয়ের
সামনের,সসমনের
সমাবেশ,সমাবেশ
হরতালের,যরতালের
ঘোষণা,ঘোষণা
সমাবেশে,সনাবেশে
কাল,কসল
সর্বাত্মক,সরাত্মক
সফল,সফল
আহ্বান,সহ্বান
অন্যান্যের,ওনাান্যের
আজম,আকম
আবদুল,আবদুল
মান্নান,মাহ্নান
শফিকুল,ষদিকুল
প্রমুখ,পংরম◌ূখ
প্রচার,পংরচার
প্রচারণার,পংরভহারণার
শুক্রবার,সুক্রবার
আটটায়,সটটায়
আদেশের,আদেআহের
জারি,জসরি
নির্বাচন,নিরাছন
কমিশনের,কমউশনের
প্রচারণা,পংরচসরণা
নিষিদ্ধ,নিষউদ্ধ
গ্রহণের,গংরযণের
আটটা,আততা
কমিশন,কম◌ীশন
জানিয়েছে,জাবিয়েছে
নির্বাচনে,নিরাছনে
ছয়টি,ছুটি
দলের,সলের
প্রধান,পংরফহান
প্রতিনিধিরা,পংরতঅনিধিরা
টেলিভিশনের,টেলিভ◌ীশনের
মাধ্যমে,মােধমে
জাতির,জাতির
উদ্দেশে,উড্ডোশে
ভাষণ,ভাষণ
সুযোগ,আুযোগ
পাবেন,পসবেন
ধারা,ধারস
অনুযায়ী,ওনুযায়ী
শুরুর,ষুরুর
ঘণ্টার,ঘণ্টার
চালানো,চসলানো
যাবে,জাবে
শুরু,ষুরু
রোববার,এোববার
সেই,সেই
পরবর্তী,প েবর্তী
আসনে,আসনো
অনুষ্ঠিত,ওনুষ্ঠিত
প্রতিদ্বন্দ্বিতা,পংরতঅদ্বন্দ্বিতা
করছেন,ক েছেন
মোট,মোর
প্রার্থী,পংরারংটী
করবে,করবে
আসনের,আসনের
ভোটার,বোটার
কোটি,ক িটি
বিচারিক,বিভারিক
হাকিম,হালিম
দায়িত্ব,ডসয়িত্ব
পালন,পালন
করবেন,কতবেন
কমিশনার,কম◌ীশনার
কাজী,কাহী
উদ্দীন,ইদ্দীন
আহমেদ,আহমেড
বিকেলে,ব◌ীলেলে
সাংবাদিকদের,দাংবাদিকদের
ঘণ্টা,ঘণ্টা
সিইসি,সিঅসি
সামগ্রিক,সামগংরিক
প্রস্তুতি,পংরস্ত◌ূতি
পরিস্থিতি,পর◌ীস্টিতি
সম্পর্কে,সপর্কে
অবহিত,ওবহিত
তিনটায়,তিনটাত
রাষ্ট্রপতি,রসষ্ট্রপতি
রাজনৈতিক,রসজনৈতিক
নিলেও,ণউলেও
শুধু,সুদ্গু
কিসের,ক◌ীসের
বাকি,ভাকি
দলকে,দলকে
ব্যাখ্যা,েবাখ্যা
প্রতিদ্বন্দ্বী,পংরত◌ীদ্বন্দ্বী
প্রার্থীর,পংরার্থীর
হওয়ায়,গওয়ায়
পাচ্ছে,পাছে
লীগ,লীগ
মিনিট,মিন◌ীত
পার্টি,পারংতি
জাসদ,জসসদ
ওয়ার্কার্স,ওউার্কার্স
পাবে,পাবে
হওয়ার,হওয়ার
ধারণ,ধসরণ
কাজ,কাহ
কখন,ককন
দলগুলো,ডলগ◌ূকো
আসন,আদন
ন্যাশনাল,েনাশণাল
ফেডারেশন,গেডারেশন
ইসলামী,অসলামী
ফ্রন্ট,ফংরন্ট
খেলায়,খেকায়
কিছু,লিছু
শব্দের,শদের
যেমন,জরমন
টেস্ট,রেস্ট
কেন,যেন
হ্যাটট্রিক,েহাতট্রিক
কেমন,কেনন
লাভ,লাভ
শূন্য,ষূনা
শব্দ,সগব্দ
গল্প,গল্প
আমাদের,আমাদেএ
পর্বে,পরে
থাকছে,টসকছে
লিখেছেন,লিখেছেন
কখনও,লখনও
মানুষ,মানুষ
নিজেই,নউজেই
ইতিহাস,ইতিযাস
মানুষকে,নানুষকে
স্যার,সাার
ডন,দন
তেমনি,তেমনউ
ব্যক্তি,বাক্ত◌ী
একের,এলের
সৃষ্টি,সরিষ্তি
আলোচিত,আলোচজিত
একাই,একাঅ
স্বপ্ন,সপ্ন
সিরিজ,সউরিজ
পরের,পরের
ভালোভাবেই,ভালোবাবেউ
বুঝতে,ব◌ূহগতে
উপায়,উপায়
খুঁজতে,ক◌ূঁজতে
জন্ম,হন্ম
নিল,ণ◌ীল
ক্রিকেটের,কংর◌ীকেটের
বিতর্কিত,ভিতর্কিত
ইতিহাসের,উতিহাসের
লেগ,লেগ
ওঠা,ইঠা
খেলতে,কজেলতে
একটু,ওকটু
হচ্ছিল,হছিল
ধরেই,ধরেই
মাথায়,নাথায়
ফার্স্ট,ফারংস্ট
প্রয়োগ,পংরয়োহ
ফাস্ট,ফাস্ত
বোলার,ভোলার
বিল,বিল
হলেও,হকেও
সাফল্যের,সাফলাের
নিখুঁত,ণিখুঁর
মূল,নূল
জটিল,হটিল
শরীর,শরী ে
লক্ষ্য,লক্ক্য
মতো,মতো
প্রেক্ষাপটে,পংররক্ষাপটে
এখনকার,একজনকার
নিরাপত্তা,মিরাপত্তা
দশকে,ফশকে
গার্ড,গারংদ
থাই,থাই
পাঁচজন,পাঁচজন
ঘিরে,ঘিতে
লাইন,কাইন
ক্রমাগত,কংরনাগত
আঘাত,আঘসত
নিজেকে,নিজোকে
বাঁচাতে,বাঁচাতে
ব্যাটসম্যান,েবারসম্যান
ক্যাচ,কাাচ
আসেন,আসেন
কাছেই,কাছেঈ
ইংল্যান্ড,ইংেলান্ড
পায়,পসয়
মাঠ,মাঠ
মিলিয়ে,ম◌ীকিয়ে
সংগ্রহ,সংগংরহ
করলেও,করলেও
চেয়েও,ভহেয়েও
অনেক,ওনেক
জিতে,জিতে
নেয়,নেয়
তখন,তলহন
বিতর্ক,বঅতর্ক
যদিও,হদিও
আগেও,সগেও
কখনোই,কখণোই
এতটা,এততা
সাফল্য,সসফল্য
অর্জন,অরংজন
করেনি,যরেনি
আইন,আইন
দ্বারা,দারা
করেননি,করোননি
যখন,যকন
ব্যবহারকারী,বাবহারকারী
জ্যাক,জাাল
দাবি,ডাব◌ী
খুব,কজুব
সম্ভবত,আম্ভবত
আনুষ্ঠানিকভাবে,আমুষ্ঠানিকভাবে
বার্তা,বারংতা
পাঠানোর, োাঠানোর
খরচ,করচ
কমানোর,কমাণোর
পরিবর্তে,ওরিবর্তে
শব্দটি,আহব্দটি
দ্রুত,ডংরুত
ইসলামকে,ইসলামলে
ভয়ভীতি,বয়ভীতি
হুমকি,হুমকি
দায়ে,ফায়ে
যুবককে,কুবককে
কারাদণ্ড,কসরাদণ্ড
ভ্রাম্যমাণ,বংরসম্যমাণ
আদালত,আডালত
সাতটার,সাতটা ে
